"tier","track","company","website","segment","why_fit","workflow_insertion_point","likely_team_buyer","why_now","fit_score","confidence_score","reachability_score","personalization_richness_score","pilot_likelihood_score","public_signal"
"Tier 1","Fintech / commerce / payment design partners","Marqeta","https://www.marqeta.com","Card issuing and spend infrastructure","Marqeta already powers spend controls and card workflows, making agent-managed authorization a logical extension area.","Virtual card issuance, authorization decisioning, spend management workflows.","VP Product, card platform partnerships, innovation team.","Card infrastructure buyers are increasingly asking for more programmable controls and automation layers.","8","8","6","8","7","Official innovation positioning around modern card controls."
"Tier 1","Fintech / commerce / payment design partners","Modern Treasury","https://www.moderntreasury.com","Payment operations platform","Modern Treasury is a strong fit because it owns payment ops workflows where AI-driven action will need approvals, audit, and human checkpoints.","Payment ops workflows, approvals, treasury actions, finance automation.","CEO, VP Product, AI or automation lead inside finance platform.","As finance automation matures, governed AI action becomes a natural extension of payment operations.","8","8","7","8","8","Official finance automation and payment operations thought leadership."
"Tier 1","Fintech / commerce / payment design partners","Unit","https://www.unit.co","Embedded finance platform","Unit is relevant because Sardis can give embedded finance customers a safer way to expose controlled payments and cards to AI workflows.","Embedded banking actions, card programs, programmable money movement.","CEO, head of product, partnerships lead.","Embedded finance platforms are moving toward more programmable and workflow-native money movement.","8","7","8","7","8","Official embedded finance platform and automation positioning."
"Tier 1","Commerce / marketplace / travel / procurement platforms","Shopify","https://www.shopify.com","Commerce platform","Shopify is a top fit because merchant-side agentic commerce will need safe payment execution, especially when assistants can act on buyer intent.","Shopify checkout, merchant assistant actions, agent-to-checkout handoff.","VP Product for commerce AI, Shop app team, partnerships.","Shopify is directly involved in early agentic commerce conversations and ecosystem pilots.","10","9","6","10","7","Official Stripe Agentic Commerce Suite platform partner and strong AI commerce push."
"Tier 1","Commerce / marketplace / travel / procurement platforms","Klarna","https://www.klarna.com","AI shopping and payments platform","Klarna is highly relevant because it is actively pushing AI shopping experiences where agent-led commerce needs governed payment rails.","Shopping assistant, merchant checkout, payment approval and settlement moments.","Chief product officer, AI commerce lead, payments product team.","Klarna is publicly leaning into AI shopping, which makes autonomous purchase controls timely.","10","9","6","9","7","Official AI shopping assistant and consumer AI commerce rollout."
"Tier 1","Commerce / marketplace / travel / procurement platforms","Instacart","https://www.instacart.com","AI-assisted commerce platform","Instacart has direct transaction workflows and AI shopping experiences, making Sardis relevant for controlled cart completion and agent checkout.","Smart shopping flows, reorder agents, cart and checkout execution.","VP Product, AI shopping lead, marketplace engineering.","Instacart is adding AI shopping functionality that moves closer to direct purchase execution.","9","8","7","8","7","Official Smart Shop and AI-assisted shopping push."
"Tier 1","Commerce / marketplace / travel / procurement platforms","Expedia Group","https://www.expediagroup.com","Travel commerce platform","Travel booking is one of the clearest Sardis use cases because agents need approval, budget, and audit around reservations and spend.","Trip planning, hotel and flight booking, traveler approval workflows.","VP Product for AI travel, Expedia product leadership, corporate travel innovation.","Expedia is publicly expanding AI trip planning and shopping experiences now.","9","8","6","9","7","Official AI trip planning and OpenAI partnership activity."
"Tier 1","Commerce / marketplace / travel / procurement platforms","Zip","https://ziphq.com","Procurement orchestration platform","Zip is one of the clearest workflow fits because agentic procurement needs budget constraints, approvals, and auditable purchase execution.","Intake-to-procure, supplier requests, controlled purchase execution.","Founder, CTO, AI product lead, procurement workflow leadership.","Zip is publicly shipping AI procurement workflows and showing strong customer adoption.","10","9","8","9","9","Official AI procurement customer stories with major enterprises."
"Tier 1","Commerce / marketplace / travel / procurement platforms","Navan","https://navan.com","Travel and expense platform","Navan is a strong fit because travel booking and expense workflows are natural agent-purchase moments where policy gates matter.","Travel booking, expense controls, corporate budget and approval routing.","VP Product, travel AI lead, expense platform leadership.","Navan is pushing AI-powered travel and expense experiences that get very close to autonomous spend.","9","8","8","8","8","Official AI assistant positioning in travel and expense."
"Tier 2","Agent platforms / agent builders","n8n","https://n8n.io","Workflow automation and AI agents","n8n is a strong fit because Sardis already has an n8n integration path and its users build real automations that could include controlled financial actions.","n8n nodes, agent flows, approval steps, purchase or booking actions.","Founder, CTO, integrations lead.","n8n is expanding AI agent use cases and has a direct workflow insertion point for Sardis.","9","8","9","8","9","Official n8n AI agent workflow push and direct Sardis integration relevance."
"Tier 2","Agent platforms / agent builders","Pipedream","https://pipedream.com","Developer workflow automation","Pipedream users automate across APIs, which makes Sardis relevant when those flows need safe paid actions instead of only data movement.","API workflows, agent tools, paid API access, approvals.","Founder, CTO, product lead for workflows.","Pipedream is moving further into AI automation, where payment-aware actions become useful.","8","7","8","7","8","Official AI workflow and developer automation positioning."
"Tier 2","Agent platforms / agent builders","Retool","https://retool.com","Internal tools and agent platform","Retool is relevant because enterprise teams use it to operationalize internal workflows, and Sardis could govern agent-driven payment or procurement steps.","Internal agent actions, ops dashboards, approval-based financial steps.","VP Product, AI lead, enterprise platform team.","Retool is pushing AI agents for internal operations, making safe financial actions a practical add-on.","8","8","7","8","7","Official Retool AI agents and internal ops workflow push."
"Tier 2","Agent platforms / agent builders","LlamaIndex","https://www.llamaindex.ai","Enterprise agent framework","LlamaIndex sits close to enterprise agent orchestration, which makes Sardis useful once customers move from retrieval to external paid actions.","Agent tool layer, enterprise workflows, approval and spend constraints.","Founder, CTO, enterprise product lead.","As LlamaIndex pushes enterprise agents, the gap shifts from reasoning to governed execution.","8","8","7","8","7","Official enterprise workflow and agent framework expansion."
"Tier 2","Agent platforms / agent builders","Writer","https://writer.com","Enterprise AI platform","Writer is moving into agents for enterprise workflows, and Sardis could enable controlled financial or procurement actions in those flows.","Enterprise agents, approval chains, spend and purchasing actions.","Product leader for agents, AI platform GM, enterprise solutions team.","Writer is publicly expanding from content AI into workflow execution.","8","8","7","8","7","Official Writer agents and enterprise workflow announcements."
"Tier 2","Agent platforms / agent builders","Glean","https://www.glean.com","Enterprise work AI platform","Glean is relevant because enterprise assistants eventually need to take actions, not just answer questions, and Sardis fits high-risk financial actions.","Enterprise assistant actions, procurement requests, budgeted approvals.","Chief product officer, Glean work AI product lead.","Glean is moving from search to action, which makes governed execution more relevant.","8","7","6","8","6","Official work AI and agentic enterprise positioning."
"Tier 2","Agent platforms / agent builders","UiPath","https://www.uipath.com","Agentic automation platform","UiPath is a strong fit at the workflow level because enterprise automation increasingly includes approvals and spend-related steps.","Agentic automation, finance ops, procurement and service workflows.","GM AI, VP Product for agentic automation, strategic partnerships.","UiPath is pushing agentic automation across enterprise operations, which aligns with Sardis's governance layer.","8","8","6","8","7","Official agentic automation product messaging."
"Tier 2","Agent platforms / agent builders","Automation Anywhere","https://www.automationanywhere.com","Automation platform","Automation Anywhere is relevant because agentic process automation will expose more workflows to financial actions that need bounds and audit.","Finance and ops automations, approval chains, payable actions.","VP Product, AI automation lead.","The company is actively reframing automation around AI agents and autonomous work.","8","7","6","7","7","Official AI-driven process automation messaging."
"Tier 2","Agent platforms / agent builders","Make","https://www.make.com","Workflow automation platform","Make serves business operators building automations, and Sardis could unlock safer payment or booking actions inside those flows.","AI workflows, no-code automation steps, approval-managed spend.","Product lead for AI, partnerships, platform team.","Make is increasing AI workflow depth, which raises the need for controlled external actions.","7","7","8","7","8","Official AI workflow expansion and no-code automation positioning."
"Tier 2","Agent platforms / agent builders","Cognition","https://www.cognition.ai","Autonomous software agent company","Cognition is more speculative but relevant because software agents increasingly need budgeted access to paid tools, services, or cloud-like actions.","Agent-run engineering workflows with controlled paid actions or service purchases.","CEO, product lead for Devin platform, infrastructure team.","Cognition is pushing autonomous software work, which could broaden into financially consequential actions.","7","6","5","8","5","Official Devin platform expansion."
"Tier 2","Agent platforms / agent builders","Adept","https://www.adept.ai","Enterprise action model company","Adept focuses on enterprise actions in software, making Sardis relevant when those actions touch payments or purchasing.","Enterprise software actions, procurement, internal service purchasing.","CEO, CTO, product lead for enterprise actions.","Adept's core thesis is software action-taking, which fits Sardis when money enters the loop.","8","7","6","7","6","Official enterprise action model positioning."
"Tier 2","Agent platforms / agent builders","OpenAI","https://openai.com","Foundational model and agent platform","OpenAI is strategically relevant because Operator and the Agents stack make agent actions mainstream, but pilot odds are lower because it can build internally.","Operator flows, tool calling, commerce and browser-based actions.","Head of product for agents, Operator team, platform partnerships.","OpenAI is actively normalizing agents that browse and act, bringing payment control into focus.","9","9","3","10","3","Official Agents platform and Operator product push."
"Tier 2","Internal enterprise AI and automation teams","Oracle","https://www.oracle.com","ERP and enterprise workflows","Oracle is a strong fit because ERP-centric agents touching procurement and finance will need approval and payment controls.","Oracle finance and procurement agents, ERP workflow execution.","AI apps leader, procurement cloud leadership, innovation partnerships.","Oracle is publicly shipping AI agents across enterprise apps, including financially sensitive workflows.","9","8","4","8","5","Official Oracle AI agents across enterprise applications."
"Tier 2","Internal enterprise AI and automation teams","Cisco","https://www.cisco.com","Enterprise technology and AI operations","Cisco is relevant because enterprise AI workflows and partner ecosystem moves put it near internal purchasing and service workflows where controlled actions matter.","Internal service procurement, support operations, partner workflow automation.","AI product leader, internal automation lead, partnerships team.","Cisco is publicly leaning into enterprise agent ecosystems and workflow automation.","7","7","5","8","5","Official partner and enterprise agent ecosystem activity."
"Tier 2","Internal enterprise AI and automation teams","Adobe","https://www.adobe.com","Digital experience and commerce software","Adobe is relevant because AI agents are increasingly tied to customer journeys and commerce actions where refunds, offers, or paid steps need controls.","Commerce workflows, customer support actions, marketing and transaction operations.","AI product leadership, commerce product team, digital experience platform lead.","Adobe continues to push AI deeper into customer and commerce workflows.","7","7","5","8","5","Official AI expansion across experience and commerce products."
"Tier 2","Internal enterprise AI and automation teams","Intercom","https://www.intercom.com","Customer support AI platform","Intercom is a good fit because support agents are moving toward refunds, credits, and account actions that need financial guardrails.","Support agent actions, refund and credit approvals, billing workflows.","Head of Fin, product lead for AI support, partnerships.","Intercom is publicly expanding autonomous support agents, increasing the need for safe money-related actions.","8","8","7","8","7","Official Intercom Fin and autonomous support push."
"Tier 2","Internal enterprise AI and automation teams","Zendesk","https://www.zendesk.com","Customer service platform","Zendesk is relevant because service AI is moving from deflection to action, and financial actions like credits or refunds need tighter controls.","Support workflows, refund or credit actions, billing resolution flows.","Product lead for AI agents, service platform GM.","Zendesk is actively expanding AI agents in support workflows.","8","8","6","8","6","Official Zendesk AI agents and customer service automation messaging."
"Tier 2","Internal enterprise AI and automation teams","Rippling","https://www.rippling.com","Workforce platform","Rippling is attractive because it sits near payroll, spend, device, and vendor workflows where approval-based autonomous actions could fit.","Spend ops, payroll-adjacent operations, IT and finance workflow automation.","VP Product, automation lead, finance platform leadership.","Rippling continues to expand automation across systems of record that already touch money.","8","7","7","8","7","Official platform automation and finance-adjacent workflow positioning."
"Tier 2","Internal enterprise AI and automation teams","Deel","https://www.deel.com","Global payroll and HR platform","Deel is relevant because cross-border payroll, contractor payouts, and expense workflows make controlled agent actions credible.","Payroll ops, contractor onboarding, global payments and compliance tasks.","Product lead for AI, global payroll leadership, operations automation team.","Deel is expanding automation in global workforce operations where mistakes are expensive.","8","7","7","8","7","Official workflow automation and AI expansion in global operations."
"Tier 2","Internal enterprise AI and automation teams","Box","https://www.box.com","Enterprise content and workflow platform","Box is a fit because enterprise documents often drive invoice, contract, and procurement workflows that need action plus approval.","Invoice extraction, contract-triggered procurement, document-based approvals.","AI product leader, workflow product team.","Box is publicly repositioning around agentic workflows on enterprise content.","7","8","6","8","6","Official Box agentic workflow announcements."
"Tier 2","Internal enterprise AI and automation teams","HubSpot","https://www.hubspot.com","Go-to-market platform","HubSpot is relevant because AI agents tied to CRM and commerce workflows could move toward quotes, billing, and partner purchasing actions.","CRM agent actions, quoting, billing support, partner workflow automation.","VP Product AI, commerce product leadership.","HubSpot is expanding agents beyond content generation into workflow execution.","7","7","6","8","6","Official AI agent and go-to-market workflow expansion."
"Tier 2","Internal enterprise AI and automation teams","Cloudflare","https://www.cloudflare.com","Developer and AI infrastructure platform","Cloudflare is relevant because developer agents and usage-based compute make it a good fit for governed API and infrastructure purchases.","Developer workflow automation, usage-based service actions, API buying.","Product lead for agents, developer platform partnerships.","Cloudflare is leaning into developer agents and programmable infrastructure now.","8","7","6","8","6","Official agentic and developer AI infrastructure positioning."
"Tier 2","Fintech / commerce / payment design partners","BVNK","https://www.bvnk.com","Stablecoin payments company","BVNK is a strong design-partner target because its stablecoin payment workflows map well to agent treasury and controlled settlement use cases.","Stablecoin payment execution, treasury controls, merchant settlement.","CEO, VP Product, partnerships.","BVNK is actively pushing stablecoin payment infrastructure as enterprise adoption rises.","8","8","7","8","8","Official stablecoin payments expansion and product momentum."
"Tier 2","Fintech / commerce / payment design partners","Rain","https://www.rain.com","Stablecoin-linked card and spend platform","Rain is highly relevant because Sardis can complement stablecoin card programs with richer policy, approval, and audit layers.","Stablecoin card issuance, merchant restrictions, controlled spend.","CEO, product lead for cards, partnerships.","Stablecoin card usage is expanding and agent-managed spend is a plausible next use case.","8","7","8","7","8","Official stablecoin card and spend infrastructure positioning."
"Tier 2","Fintech / commerce / payment design partners","PayPal","https://www.paypal.com","Payments and wallet network","PayPal is strategically relevant because agentic commerce is becoming mainstream, but it is less likely to need an outside control layer quickly.","Wallet actions, merchant checkout, agent commerce journeys.","Innovation leadership, product partnerships, commerce AI team.","PayPal is publicly engaging with agent commerce trends and merchant AI.","8","8","5","9","5","Official agent commerce and AI checkout positioning."
"Tier 2","Fintech / commerce / payment design partners","Airwallex","https://www.airwallex.com","Global payments and treasury platform","Airwallex is relevant because cross-border treasury and spend workflows are natural settings for controlled agent execution.","Treasury automation, FX and payout workflows, finance ops approvals.","VP Product, treasury lead, strategic partnerships.","Airwallex is expanding automation and stablecoin-adjacent capabilities in global finance.","8","7","7","7","7","Official automation and stablecoin-related product expansion."
"Tier 2","Fintech / commerce / payment design partners","Checkout.com","https://www.checkout.com","Enterprise payments platform","Checkout.com is a good fit where enterprise merchants want agentic checkout or autonomous commerce with stronger controls.","Merchant payment flows, checkout orchestration, risk-aware authorization.","VP Product, partnerships, innovation team.","Merchant AI and agentic commerce are rising topics across enterprise payments.","7","7","6","7","6","Official commerce innovation and stablecoin-related positioning."
"Tier 2","Fintech / commerce / payment design partners","Adyen","https://www.adyen.com","Enterprise commerce platform","Adyen fits where commerce platforms need safe agent checkout or controlled payment actions, though pilot odds are lower because of scale.","Enterprise merchant checkout, platform payments, approval-sensitive flows.","Commerce innovation lead, partnerships, product team.","Adyen is increasingly adjacent to AI-driven commerce and platform workflows.","7","7","5","8","5","Official AI and commerce trend engagement."
"Tier 2","Fintech / commerce / payment design partners","Primer","https://www.primer.io","Payment orchestration platform","Primer is relevant because it already sits above payment rails, and Sardis could extend orchestration into agent-safe approval and policy logic.","Payment orchestration layer, merchant routing, agentic checkout controls.","CEO, VP Product, partnerships.","As merchants explore agentic commerce, orchestration needs more intent and policy context.","8","7","8","7","8","Official payment orchestration expansion and merchant workflow positioning."
"Tier 2","Fintech / commerce / payment design partners","Treasury Prime","https://www.treasuryprime.com","Banking-as-a-service platform","Treasury Prime is relevant because embedded banking and programmable money movement increasingly need agent-safe control layers.","Banking actions, money movement, embedded finance approvals.","CEO, product lead, partnerships.","Embedded finance platforms are looking for more programmable and governed action layers.","7","7","7","6","7","Official embedded banking platform positioning."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Booking Holdings","https://www.bookingholdings.com","Travel marketplace","Booking is relevant because AI trip planning is moving toward action, and travel booking is a direct Sardis workflow fit.","Trip planning, booking confirmation, budget and traveler approvals.","VP Product for AI travel, booking platform leadership.","Booking.com is publicly investing in AI planning and shopping experiences.","8","8","6","8","6","Official AI trip planning and assistant rollout."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Coupa","https://www.coupa.com","Spend management and procurement","Coupa is one of the clearest procurement fits because agentic sourcing and spend workflows need budget policy and approval routing.","Requisition, purchase approval, spend policy enforcement.","VP Product AI, procurement product leadership.","Coupa is publicly pushing AI in spend management and procurement.","9","8","6","8","7","Official AI expansion in spend management."
"Tier 2","Commerce / marketplace / travel / procurement platforms","DoorDash","https://www.doordash.com","Commerce and ordering platform","DoorDash is relevant because conversational ordering and workflow automation move it closer to agent-led purchasing.","Order creation, checkout, business ordering, approval-sensitive purchases.","VP Product, marketplace AI lead, DoorDash for Work leadership.","DoorDash is publicly expanding AI in ordering and customer workflows.","8","7","6","7","6","Official AI-powered ordering and support experiences."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Uber","https://www.uber.com","Marketplace and mobility platform","Uber is relevant because AI-assisted ordering, booking, and enterprise travel workflows create direct payment moments that need control.","Ride and delivery booking, business travel, expense-aware approvals.","Product lead for AI, Uber for Business leadership.","Uber keeps expanding AI across booking and commerce experiences.","8","7","5","7","5","Official AI and marketplace workflow expansion."
"Tier 2","Commerce / marketplace / travel / procurement platforms","Walmart","https://www.walmart.com","Retail and commerce platform","Walmart is strategically relevant because AI shopping assistants move toward purchase execution, though pilot reach is harder.","Shopping assistant, cart building, checkout, reorder workflows.","AI commerce lead, product innovation leadership.","Walmart is publicly pushing AI shopping and customer assistance now.","8","8","4","9","4","Official AI shopping assistant and retail AI rollout."
"Tier 3","Agent platforms / agent builders","Anthropic","https://www.anthropic.com","Foundational model and agent platform","Anthropic is relevant because computer-use and enterprise agents make action safety central, but it is likely to build much of this in-house.","Computer-use workflows, partner tool actions, enterprise agent execution.","Product lead for computer use, partnerships, platform team.","Anthropic keeps advancing computer-use capabilities, increasing the relevance of action governance.","9","8","3","9","3","Official computer-use and enterprise agent expansion."
"Tier 3","Agent platforms / agent builders","Microsoft","https://www.microsoft.com","Enterprise agent platform","Microsoft is clearly relevant through Copilot Studio and enterprise agents, but buying motion will be slow and likely internalized.","Copilot agent actions, procurement and finance workflow extensions.","Copilot Studio leadership, AI platform partnerships.","Microsoft is pushing agents across the enterprise stack, but external pilot odds are low.","8","9","3","9","3","Official Copilot Studio and enterprise agent expansion."
"Tier 3","Agent platforms / agent builders","Salesforce","https://www.salesforce.com","CRM and agent platform","Salesforce is relevant because Agentforce is embedding agents into enterprise workflows, but it is a harder pilot target despite clear fit.","Agentforce actions, commerce and service workflows, approval-sensitive actions.","Agentforce product leadership, platform partnerships.","Salesforce is rapidly expanding Agentforce and its partner marketplace.","8","9","3","10","4","Official Agentforce 2dx and Agentforce 3 announcements."
"Tier 3","Agent platforms / agent builders","ServiceNow","https://www.servicenow.com","Enterprise workflow platform","ServiceNow is relevant because AI Agent Orchestrator pushes autonomous work into service and ops workflows, but the buyer motion is long-cycle.","Service workflows, procurement or IT actions, approval-managed operations.","AI Agent Orchestrator leadership, platform team.","ServiceNow is publicly scaling AI agents across enterprise workflows.","8","8","4","8","4","Official AI Agent Orchestrator launch."
"Tier 3","Agent platforms / agent builders","Google Cloud","https://cloud.google.com","Enterprise AI platform","Google Cloud is strategically relevant because Gemini Enterprise and Agentspace push action-oriented AI into large organizations, but external pilot odds are modest.","Enterprise assistant actions, workflow execution, partner ecosystem integration.","Google Cloud AI leadership, partner ecosystem team.","Google is expanding enterprise AI orchestration aggressively, which makes governed actions timely.","8","8","3","9","3","Official Gemini Enterprise and Agentspace expansion."
"Tier 3","Internal enterprise AI and automation teams","Atlassian","https://www.atlassian.com","Work management and collaboration software","Atlassian is a plausible fit because Rovo and workflow agents could move into procurement, service, and approval tasks that touch spend.","Project-to-purchase workflows, service approvals, internal operations agents.","Rovo product lead, platform partnerships.","Atlassian is broadening Rovo and AI workflow capabilities across the stack.","7","7","6","7","5","Official Rovo and workflow AI expansion."
"Tier 3","Internal enterprise AI and automation teams","Canva","https://www.canva.com","Design platform with internal AI adoption","Canva is relevant as an internal AI adopter with procurement and finance automation needs, especially given public AI procurement use cases.","Internal procurement and operations workflows, software and vendor purchasing.","Head of AI, procurement systems leader, internal ops automation team.","Canva is publicly referenced in AI procurement customer stories, which suggests appetite for action-oriented automation.","7","8","6","8","6","Public AI procurement customer reference."
"Tier 3","Internal enterprise AI and automation teams","Deloitte","https://www.deloitte.com","Enterprise services and internal AI transformation","Deloitte is relevant because it operates large procurement and finance workflows and is publicly deploying enterprise AI assistants.","Internal procurement, travel, and vendor operations with strong compliance needs.","AI transformation lead, internal platforms, finance systems team.","Large-scale AI adoption raises the need for controls in any agent-led financial action.","7","7","4","8","4","Public enterprise AI deployment reference."
"Tier 3","Internal enterprise AI and automation teams","DBS Bank","https://www.dbs.com","Banking and enterprise AI adopter","DBS is relevant because internal AI automation in a regulated environment creates a strong need for approvals, evidence, and bounded actions.","Internal operations, procurement, finance and compliance workflows.","Head of AI, internal platforms, innovation team.","DBS has been publicly named in enterprise AI rollout contexts, which suggests timing.","8","7","4","7","4","Public enterprise AI customer reference."
"Tier 3","Internal enterprise AI and automation teams","Macquarie Group","https://www.macquarie.com","Financial services and AI adopter","Macquarie is a fit because internal AI in a financial institution makes audit-heavy action layers highly relevant.","Internal finance and procurement workflows with strict controls.","Innovation lead, internal automation, procurement systems team.","Public AI adoption at Macquarie suggests openness to workflow automation infrastructure.","8","7","4","7","4","Public enterprise AI customer reference."
