tier,track,company,website,segment,company_fit_score,company_confidence_score,company_reachability_score,company_personalization_richness_score,company_pilot_likelihood_score,workflow_insertion_point,likely_team_buyer,why_now,contact_sequence,full_name,role,persona_type,source_quality,source_url,personalization_source,why_this_person,likely_angle,public_contact_path,contact_path_status,notes
Tier 1,Commerce / marketplace / travel / procurement platforms,Zip,https://ziphq.com,Procurement orchestration platform,10,9,8,9,9,"Intake-to-procure, supplier requests, controlled purchase execution.","Founder, CTO, AI product lead, procurement workflow leadership.",Zip is publicly shipping AI procurement workflows and showing strong customer adoption.,5,Colin Glazier,"VP, Procurement Solutions",champion,medium,https://theorg.com/org/ziphq,The Org Zip company page.,Very close to the actual procurement use cases where Sardis would need to prove real workflow value.,Position Sardis as the missing spend-control layer when procurement orchestration becomes agentic.,,not_publicly_confirmed,Strong domain-specific route.
Tier 1,Commerce / marketplace / travel / procurement platforms,Zip,https://ziphq.com,Procurement orchestration platform,10,9,8,9,9,"Intake-to-procure, supplier requests, controlled purchase execution.","Founder, CTO, AI product lead, procurement workflow leadership.",Zip is publicly shipping AI procurement workflows and showing strong customer adoption.,6,Tyson Knight,Chief Customer Officer,influencer,medium,https://theorg.com/org/ziphq,The Org Zip company page.,Useful to validate whether large customers are already asking for stronger guardrails around AI procurement actions.,"Sell the control layer as a way to expand enterprise-safe use cases, not as a generic AI add-on.",press@ziphq.com,public_routing_only,Official public newsroom alias is useful only as a fallback path.
Tier 1,Agent platforms / agent builders,CrewAI,https://www.crewai.com,Multi-agent platform,9,8,8,8,8,"Crew action layer, approval steps, enterprise multi-agent workflows.","Founder, CTO, product lead for enterprise agent execution.","CrewAI is pushing from developer experimentation into operational deployment, where financial controls become more urgent.",1,João Moura,Founder and CEO,buyer,medium,https://theorg.com/org/crewai/org-chart/joao-moura,The Org CEO profile and CrewAI company positioning.,Founder path for deciding whether transaction-enabled crews are a category-defining capability or a distraction.,Give crews bounded spending authority so enterprise automations can execute rather than hand off at payment time.,,not_publicly_confirmed,Best strategic route.
Tier 1,Agent platforms / agent builders,CrewAI,https://www.crewai.com,Multi-agent platform,9,8,8,8,8,"Crew action layer, approval steps, enterprise multi-agent workflows.","Founder, CTO, product lead for enterprise agent execution.","CrewAI is pushing from developer experimentation into operational deployment, where financial controls become more urgent.",2,Rob Bailey,COO and Co-founder,buyer,medium,https://theorg.com/org/crewai/org-chart/rob-bailey,The Org Rob Bailey profile.,Commercial co-founder who can assess whether governed spend expands CrewAI’s enterprise value proposition.,Position Sardis as a way to increase trust and commercial fit in real automation programs.,,not_publicly_confirmed,Good co-founder path.
Tier 1,Agent platforms / agent builders,CrewAI,https://www.crewai.com,Multi-agent platform,9,8,8,8,8,"Crew action layer, approval steps, enterprise multi-agent workflows.","Founder, CTO, product lead for enterprise agent execution.","CrewAI is pushing from developer experimentation into operational deployment, where financial controls become more urgent.",3,Jesse Miller,VP Product,buyer,medium,https://theorg.com/org/crewai/org-chart/jesse-miller,The Org product profile.,"Best practical owner for roadmap-fit questions around approvals, spend ceilings, and policy-aware actions.",Turn real-world payment steps into a reusable workflow component instead of bespoke customer logic.,,not_publicly_confirmed,Primary product-thread contact.
Tier 1,Agent platforms / agent builders,CrewAI,https://www.crewai.com,Multi-agent platform,9,8,8,8,8,"Crew action layer, approval steps, enterprise multi-agent workflows.","Founder, CTO, product lead for enterprise agent execution.","CrewAI is pushing from developer experimentation into operational deployment, where financial controls become more urgent.",4,Jason Trueblood,Chief of Staff,influencer,medium,https://theorg.com/org/crewai/org-chart/joao-moura,The Org CEO profile showing direct team.,Good internal routing contact when founder access is hard and the problem is cross-functional.,"Frame Sardis as a design-partner topic tied to enterprise readiness, not a random integration ask.",,not_publicly_confirmed,Useful executive-office route.
Tier 1,Agent platforms / agent builders,CrewAI,https://www.crewai.com,Multi-agent platform,9,8,8,8,8,"Crew action layer, approval steps, enterprise multi-agent workflows.","Founder, CTO, product lead for enterprise agent execution.","CrewAI is pushing from developer experimentation into operational deployment, where financial controls become more urgent.",5,Patrick Thompson,Vice President of Global Sales,influencer,medium,https://theorg.com/org/crewai/org-chart/joao-moura,The Org CEO profile showing direct team.,Useful if the conversation hinges on what enterprise buyers will and will not trust agents to do.,Buyer trust becomes a sales blocker when crews can act but cannot safely complete spend-related tasks.,marketplace@crewai.com,public_routing_only,"Marketplace alias is public, but not a decision-maker inbox."
Tier 1,Commerce / marketplace / travel / procurement platforms,Navan,https://navan.com,Travel and expense platform,9,8,8,8,8,"Travel booking, expense controls, corporate budget and approval routing.","VP Product, travel AI lead, expense platform leadership.",Navan is pushing AI-powered travel and expense experiences that get very close to autonomous spend.,1,Michael Sindicich,"President, Navan Expense",buyer,high,https://investors.navan.com/news-releases/news-release-details/navan-launches-new-ai-agent-eliminate-manual-expense-reports,"Official March 5, 2026 release on Expense Chat.",Most direct executive owner for one of the clearest Sardis-adjacent workflows in the dataset.,"Help expense and travel agents take more action while keeping approvals, policy checks, and audit intact.",,not_publicly_confirmed,One of the best workflow-fit contacts overall.
Tier 1,Commerce / marketplace / travel / procurement platforms,Navan,https://navan.com,Travel and expense platform,9,8,8,8,8,"Travel booking, expense controls, corporate budget and approval routing.","VP Product, travel AI lead, expense platform leadership.",Navan is pushing AI-powered travel and expense experiences that get very close to autonomous spend.,2,Yuval Refua,"Chief Product Officer, Payments and Expense",buyer,high,https://investors.navan.com/news-releases/news-release-details/navan-launches-new-ai-agent-eliminate-manual-expense-reports,"Official March 5, 2026 release quoting Yuval Refua.",Likely product owner for the boundary between AI assistance and trusted financial execution.,Push Navan’s agentic expense strategy deeper without absorbing all spend-governance complexity internally.,,not_publicly_confirmed,Excellent product-thread contact.
Tier 1,Commerce / marketplace / travel / procurement platforms,Navan,https://navan.com,Travel and expense platform,9,8,8,8,8,"Travel booking, expense controls, corporate budget and approval routing.","VP Product, travel AI lead, expense platform leadership.",Navan is pushing AI-powered travel and expense experiences that get very close to autonomous spend.,3,Ilan Twig,CTO and Co-founder,evaluator,high,https://theorg.com/org/navan,The Org Navan company page.,"Best technical evaluator for whether Sardis should sit above Navan’s travel, card, and expense stack.",Externalize approval and delegated-spend logic where it becomes expensive to reinvent inside product code.,,not_publicly_confirmed,Strong technical route.
Tier 1,Commerce / marketplace / travel / procurement platforms,Navan,https://navan.com,Travel and expense platform,9,8,8,8,8,"Travel booking, expense controls, corporate budget and approval routing.","VP Product, travel AI lead, expense platform leadership.",Navan is pushing AI-powered travel and expense experiences that get very close to autonomous spend.,4,Nina Herold,COO,influencer,medium,https://theorg.com/org/navan,The Org Navan company page.,"Useful if the conversation is framed around operational scale, exception handling, and finance-team trust.",Replace more manual touchpoints without creating a new class of spend exceptions.,,not_publicly_confirmed,Operations route.
Tier 1,Commerce / marketplace / travel / procurement platforms,Navan,https://navan.com,Travel and expense platform,9,8,8,8,8,"Travel booking, expense controls, corporate budget and approval routing.","VP Product, travel AI lead, expense platform leadership.",Navan is pushing AI-powered travel and expense experiences that get very close to autonomous spend.,5,Ariel Cohen,CEO and Co-founder,influencer,high,https://theorg.com/org/navan,The Org Navan company page and official release context.,"Strategic route if the conversation becomes category-level around AI in travel, expense, and payments.","The real bottleneck in agentic spend is trust and control, not model capability.",press@navan.com,public_routing_only,Public press alias available from official release PDF.
Tier 1,Commerce / marketplace / travel / procurement platforms,Navan,https://navan.com,Travel and expense platform,9,8,8,8,8,"Travel booking, expense controls, corporate budget and approval routing.","VP Product, travel AI lead, expense platform leadership.",Navan is pushing AI-powered travel and expense experiences that get very close to autonomous spend.,6,Deanna Partida,"Director, Solutions Consultant, Expense",champion,medium,https://theorg.com/org/navan/teams/customer-success-and-support,The Org customer success and support team page.,Practical operator who can confirm where customers still need humans in expense workflows.,Probe the exact pain points where AI-assisted expense automation still hands off because the spend step is risky.,,not_publicly_confirmed,Good practitioner signal source.
Tier 1,Agent platforms / agent builders,LangChain,https://www.langchain.com,Agent orchestration platform,10,9,7,9,8,"LangGraph tool layer, human-in-the-loop approvals, enterprise action execution.","CEO, CTO, LangGraph product lead, enterprise platform team.","LangChain is pushing deeper into production agent engineering, which makes controlled payment actions a natural next gap.",1,Harrison Chase,Co-founder and CEO,buyer,high,https://blog.langchain.com/three-years-langchain/,Official LangChain post on the company’s direction and scale.,Founder who decides whether governed spend belongs near LangGraph and LangSmith or should stay outside the stack.,Give agent builders a safer path from orchestration into real-world paid actions.,hello@langchain.dev,public_routing_only,Official collaboration alias surfaced on the LangGraph blog.
Tier 1,Agent platforms / agent builders,LangChain,https://www.langchain.com,Agent orchestration platform,10,9,7,9,8,"LangGraph tool layer, human-in-the-loop approvals, enterprise action execution.","CEO, CTO, LangGraph product lead, enterprise platform team.","LangChain is pushing deeper into production agent engineering, which makes controlled payment actions a natural next gap.",2,Ankush Gola,Co-founder,buyer,medium,https://theorg.com/org/langchain,The Org LangChain company page.,Strong founder-side alternative if the pitch needs to stay product/platform oriented rather than purely CEO-level.,Keep payment policy outside customer app code while preserving flexibility for LangChain’s ecosystem.,,not_publicly_confirmed,Good founder alternative.
Tier 1,Agent platforms / agent builders,LangChain,https://www.langchain.com,Agent orchestration platform,10,9,7,9,8,"LangGraph tool layer, human-in-the-loop approvals, enterprise action execution.","CEO, CTO, LangGraph product lead, enterprise platform team.","LangChain is pushing deeper into production agent engineering, which makes controlled payment actions a natural next gap.",3,Alex Lunev,VP of Engineering,evaluator,medium,https://theorg.com/org/langchain,The Org LangChain company page.,Technical owner for reliability and architecture tradeoffs around action execution.,Use Sardis to centralize policy-aware spend actions instead of scattering approval logic across apps and tools.,,not_publicly_confirmed,Best engineering path.
Tier 1,Agent platforms / agent builders,LangChain,https://www.langchain.com,Agent orchestration platform,10,9,7,9,8,"LangGraph tool layer, human-in-the-loop approvals, enterprise action execution.","CEO, CTO, LangGraph product lead, enterprise platform team.","LangChain is pushing deeper into production agent engineering, which makes controlled payment actions a natural next gap.",4,Brace Sproul,Head of Applied AI,champion,medium,https://theorg.com/org/langchain,The Org LangChain company page.,Close to real customer deployments where approval steps and agent authority become messy in practice.,"Keep the message grounded in real workflow execution, not abstract agent theory.",,not_publicly_confirmed,Strong applied-AI champion.
Tier 1,Agent platforms / agent builders,LangChain,https://www.langchain.com,Agent orchestration platform,10,9,7,9,8,"LangGraph tool layer, human-in-the-loop approvals, enterprise action execution.","CEO, CTO, LangGraph product lead, enterprise platform team.","LangChain is pushing deeper into production agent engineering, which makes controlled payment actions a natural next gap.",5,Nithin Bose,Customer Engineering,champion,medium,https://theorg.com/org/langchain/org-chart/nithin-bose,The Org customer engineering profile.,Likely hears where production agent buyers hit trust barriers fastest.,Turn a common customer pain into a shared infrastructure layer rather than a custom integration burden.,,not_publicly_confirmed,Useful field-facing perspective.
Tier 1,Agent platforms / agent builders,LangChain,https://www.langchain.com,Agent orchestration platform,10,9,7,9,8,"LangGraph tool layer, human-in-the-loop approvals, enterprise action execution.","CEO, CTO, LangGraph product lead, enterprise platform team.","LangChain is pushing deeper into production agent engineering, which makes controlled payment actions a natural next gap.",6,Darren Moffett,VP of Sales,influencer,medium,https://theorg.com/org/langchain,The Org LangChain company page.,Commercial lens on whether lack of safe action execution is slowing enterprise adoption.,"If customers want agents to do real work, they eventually ask who controls the money step.",,not_publicly_confirmed,Commercial validation route.
Tier 1,Commerce / marketplace / travel / procurement platforms,Shopify,https://www.shopify.com,Commerce platform,10,9,6,10,7,"Shopify checkout, merchant assistant actions, agent-to-checkout handoff.","VP Product for commerce AI, Shop app team, partnerships.",Shopify is directly involved in early agentic commerce conversations and ecosystem pilots.,1,Vanessa Lee,"VP Product and GM, B2B and Retail",buyer,high,https://www.shopify.com/news/winter-26-edition-agentic-storefronts,Official Shopify agentic storefronts announcement.,"Named owner in the agentic storefront rollout, making this the cleanest product contact for Sardis.",Help Shopify govern which AI-led purchases can go straight through and when human approval should intervene.,,not_publicly_confirmed,Best tactical Shopify route.
Tier 1,Commerce / marketplace / travel / procurement platforms,Shopify,https://www.shopify.com,Commerce platform,10,9,6,10,7,"Shopify checkout, merchant assistant actions, agent-to-checkout handoff.","VP Product for commerce AI, Shop app team, partnerships.",Shopify is directly involved in early agentic commerce conversations and ecosystem pilots.,2,Kaz Nejatian,COO and VP Product,buyer,high,https://www.shopify.com/news/shopify-announces-leadership-changes,Official Shopify leadership-change announcement.,Strong product and operations owner for the merchant-trust implications of agentic commerce.,Move beyond discovery into governed agentic checkout without creating merchant control concerns.,,not_publicly_confirmed,Strong second thread.
Tier 1,Commerce / marketplace / travel / procurement platforms,Shopify,https://www.shopify.com,Commerce platform,10,9,6,10,7,"Shopify checkout, merchant assistant actions, agent-to-checkout handoff.","VP Product for commerce AI, Shop app team, partnerships.",Shopify is directly involved in early agentic commerce conversations and ecosystem pilots.,3,Mikhail Parakhin,Chief Technology Officer,evaluator,medium,https://theorg.com/org/shopify,The Org Shopify company page.,Best technical owner for questions around how a transaction-control layer would fit into Shopify’s stack.,Externalize the approval and spend-governance problem so product teams can focus on commerce experience.,,not_publicly_confirmed,Strong technical thread.
Tier 1,Commerce / marketplace / travel / procurement platforms,Shopify,https://www.shopify.com,Commerce platform,10,9,6,10,7,"Shopify checkout, merchant assistant actions, agent-to-checkout handoff.","VP Product for commerce AI, Shop app team, partnerships.",Shopify is directly involved in early agentic commerce conversations and ecosystem pilots.,4,Sam Gregg-Wallace,"VP Product, ShopifyOS",champion,medium,https://theorg.com/org/shopify/offices/hq,The Org Shopify HQ page.,Good product champion for the platform layer behind merchant experiences.,Treat governed agentic purchasing as a platform primitive instead of an edge-case add-on.,,not_publicly_confirmed,More execution-focused than the senior leadership routes.
Tier 1,Commerce / marketplace / travel / procurement platforms,Shopify,https://www.shopify.com,Commerce platform,10,9,6,10,7,"Shopify checkout, merchant assistant actions, agent-to-checkout handoff.","VP Product for commerce AI, Shop app team, partnerships.",Shopify is directly involved in early agentic commerce conversations and ecosystem pilots.,5,Tobi Lütke,Founder and CEO,influencer,high,https://www.shopify.com/news/winter-26-edition-agentic-storefronts,Official Shopify announcement and public leadership context.,Strategic founder route if the conversation becomes category-level around AI-native commerce.,"The next bottleneck in agentic commerce is not discovery, it is trust at the purchase boundary.",IR@shopify.com,public_routing_only,Investor-relations alias is public but not a practical first route.
Tier 1,Fintech / commerce / payment design partners,Stripe,https://stripe.com,Payments and commerce platform,10,10,5,10,7,"Agent checkout, merchant actions, controlled card or wallet spend, PSP orchestration overlays.","Agentic commerce lead, product lead for commerce, strategic partnerships.",Stripe is publicly shipping Agentic Commerce Suite and partner commerce integrations now.,1,Ahmed Gharib,"Product Lead, Agentic Commerce",champion,high,https://stripe.com/newsroom/news/stripe-openai-instant-checkout,Official Stripe announcement on OpenAI instant checkout.,Closest direct owner to the part of Stripe most adjacent to Sardis.,"Sardis complements agentic commerce by adding policy, approvals, and audit to delegated payment execution.",,not_publicly_confirmed,Best tactical Stripe contact.
Tier 1,Fintech / commerce / payment design partners,Stripe,https://stripe.com,Payments and commerce platform,10,10,5,10,7,"Agent checkout, merchant actions, controlled card or wallet spend, PSP orchestration overlays.","Agentic commerce lead, product lead for commerce, strategic partnerships.",Stripe is publicly shipping Agentic Commerce Suite and partner commerce integrations now.,2,Will Gaybrick,"President, Product and Business",buyer,high,https://stripe.com/newsroom/information,Stripe newsroom leadership page and Sessions materials.,Senior product and business owner for whether agentic commerce needs a stronger control layer.,Position Sardis as complementary infrastructure for enterprise-safe agent-initiated transactions.,info@stripe.com,public_routing_only,Official routing alias only.
Tier 1,Fintech / commerce / payment design partners,Stripe,https://stripe.com,Payments and commerce platform,10,10,5,10,7,"Agent checkout, merchant actions, controlled card or wallet spend, PSP orchestration overlays.","Agentic commerce lead, product lead for commerce, strategic partnerships.",Stripe is publicly shipping Agentic Commerce Suite and partner commerce integrations now.,3,John Collison,President and Co-founder,influencer,high,https://stripe.com/newsroom/information,Stripe newsroom leadership page.,Strategic route if the discussion turns into long-term ecosystem design for agentic commerce.,"As AI becomes a commerce surface, trusted delegated spend becomes an infrastructure problem, not just a merchant problem.",,not_publicly_confirmed,Strategic founder-level path.
Tier 1,Fintech / commerce / payment design partners,Stripe,https://stripe.com,Payments and commerce platform,10,10,5,10,7,"Agent checkout, merchant actions, controlled card or wallet spend, PSP orchestration overlays.","Agentic commerce lead, product lead for commerce, strategic partnerships.",Stripe is publicly shipping Agentic Commerce Suite and partner commerce integrations now.,4,David Singleton,Chief Technology Officer,evaluator,high,https://stripe.com/ae/sessions/2024/opening-keynote,Stripe Sessions speaker lineup.,Technical route for how a governed action layer would fit above Stripe’s existing primitives.,Use Sardis where enterprise buyers need stronger policy expression than the payment rail itself provides.,,not_publicly_confirmed,Strong technical path.
Tier 1,Fintech / commerce / payment design partners,Stripe,https://stripe.com,Payments and commerce platform,10,10,5,10,7,"Agent checkout, merchant actions, controlled card or wallet spend, PSP orchestration overlays.","Agentic commerce lead, product lead for commerce, strategic partnerships.",Stripe is publicly shipping Agentic Commerce Suite and partner commerce integrations now.,5,Alex Vogenthaler,Head of Payments and Connect Product,champion,high,https://stripe.com/au/sessions/2024/opening-keynote,Stripe Sessions speaker lineup.,Relevant product contact for how transaction controls intersect with payments and platforms.,Show how Sardis can solve enterprise policy and approval issues while Stripe remains the core rail.,,not_publicly_confirmed,Helpful product-thread contact.
Tier 1,Fintech / commerce / payment design partners,Stripe,https://stripe.com,Payments and commerce platform,10,10,5,10,7,"Agent checkout, merchant actions, controlled card or wallet spend, PSP orchestration overlays.","Agentic commerce lead, product lead for commerce, strategic partnerships.",Stripe is publicly shipping Agentic Commerce Suite and partner commerce integrations now.,6,Neetika Bansal,Head of Payments Engineering,champion,high,https://stripe.com/au/sessions/2024/opening-keynote,Stripe Sessions speaker lineup.,Engineering-side champion for evaluating where the control problem sits in the payment stack.,Keep the message architecture-heavy and focused on delegated execution risk.,,not_publicly_confirmed,Engineering champion route.
Tier 1,Agent platforms / agent builders,Gumloop,https://www.gumloop.com,No-code AI workflow platform,8,7,9,7,9,"No-code agent steps that trigger purchases, subscriptions, or vendor actions.","Founder, CTO, product lead for workflow actions.","As no-code AI workflows move from read-only to action-taking, payment risk becomes a practical blocker.",1,Max Brodeur-Urbas,Co-founder and CEO,buyer,high,https://www.gumloop.com/blog/seed-round/,Official Gumloop seed-round post.,Best founder path and one of the few top-10 accounts with a direct public email from an official source.,Enable customer-built AI workflows to perform controlled purchases or payments without Gumloop owning the full risk stack.,max@gumloop.com,public_direct,Direct email published in the official seed-round post.
Tier 1,Agent platforms / agent builders,Gumloop,https://www.gumloop.com,No-code AI workflow platform,8,7,9,7,9,"No-code agent steps that trigger purchases, subscriptions, or vendor actions.","Founder, CTO, product lead for workflow actions.","As no-code AI workflows move from read-only to action-taking, payment risk becomes a practical blocker.",2,Rahul Behal,Co-founder,evaluator,medium,https://theorg.com/org/gumloop/org-chart/rahul-behal,The Org Rahul Behal profile.,Technical-founder counterpart for implementation and product-boundary questions.,Externalize policy and approval complexity instead of embedding it in every AI workflow primitive.,,not_publicly_confirmed,Strong technical founder route.
Tier 1,Agent platforms / agent builders,Gumloop,https://www.gumloop.com,No-code AI workflow platform,8,7,9,7,9,"No-code agent steps that trigger purchases, subscriptions, or vendor actions.","Founder, CTO, product lead for workflow actions.","As no-code AI workflows move from read-only to action-taking, payment risk becomes a practical blocker.",3,Aron Korenblit,Head of Community and Education,champion,medium,https://theorg.com/org/gumloop/org-chart/aron-korenblit,The Org Aron Korenblit profile.,Likely hears from power users about the workflows they want but cannot trust enough to automate end to end.,Use customer pull to validate whether spend-enabled workflows are the next natural frontier.,,not_publicly_confirmed,Good user-adjacent champion.
Tier 1,Agent platforms / agent builders,Gumloop,https://www.gumloop.com,No-code AI workflow platform,8,7,9,7,9,"No-code agent steps that trigger purchases, subscriptions, or vendor actions.","Founder, CTO, product lead for workflow actions.","As no-code AI workflows move from read-only to action-taking, payment risk becomes a practical blocker.",4,Marcelo Chaman Mallqui,Founding Design Engineer,champion,medium,https://marcelochaman.ca/,Personal site listing current Gumloop role.,Useful for workflow and product-surface discussions if the ask needs a product-builder lens.,"Keep the message concrete: safe payment actions as a user-visible unlock, not a back-office integration.",,not_publicly_confirmed,Personal site confirms role.
Tier 1,Agent platforms / agent builders,Gumloop,https://www.gumloop.com,No-code AI workflow platform,8,7,9,7,9,"No-code agent steps that trigger purchases, subscriptions, or vendor actions.","Founder, CTO, product lead for workflow actions.","As no-code AI workflows move from read-only to action-taking, payment risk becomes a practical blocker.",5,Anuj Sharma,Solutions Engineer,champion,medium,https://theorg.com/org/gumloop/org-chart/max-brodeur-urbas,The Org Max Brodeur-Urbas profile showing direct reports.,Closer to practical implementation and enterprise buyer friction than the founder-only route.,Use him to pressure-test where customers want AI workflows to act but still stop short of money movement.,,not_publicly_confirmed,Practical field-facing route.
Tier 1,Agent platforms / agent builders,Browserbase,https://www.browserbase.com,Browser agent infrastructure,10,9,8,9,8,"Browser agent checkout, travel booking, merchant flow completion, approval gates.","CEO, CTO, head of product for browser agents.","Browser automation is moving from scraping to completing full workflows, including payment moments.",1,Paul Klein IV,Co-founder and CEO,buyer,high,https://www.browserbase.com/blog/introducing-director,Official Browserbase Director launch post.,"Founder defining the move from developer infra into broader web automation, exactly where payment control becomes more relevant.",Pair Browserbase’s web execution layer with a policy-aware spend layer so agents can finish high-stakes tasks safely.,,not_publicly_confirmed,Best strategic route.
